Residential property sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 8 April 2025],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of sales:,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row,Sep-96,Sep-97,Sep-98,Sep-99,Sep-00,Sep-01,Sep-02,Sep-03,Sep-04,Sep-05,Sep-06,Sep-07,Sep-08,Sep-09,Sep-10,Sep-11,Sep-12,Sep-13,Sep-14,Sep-15,Sep-16,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23,Area,mnemonic
105,1747,2405,2303,2405,2588,2536,2703,2546,2808,1893,2348,2630,1719,1150,1475,1520,1541,1554,2262,2015,2102,2014,2042,2149,1756,2697,1925,1391,ladu2023:Gedling,E07000173
106,1434,1658,1574,1637,1848,1910,2641,2686,2659,2368,2481,2552,1719,899,1190,1144,1173,1322,1760,1661,1848,1667,1745,1795,1582,2167,1741,1175,ladu2023:Mansfield,E07000174
107,1581,1984,1922,2197,2520,2603,2847,2696,2961,2200,2762,2730,1729,1260,1466,1453,1452,1666,2152,1917,2279,2200,2064,2246,1929,3025,2234,1475,ladu2023:Newark and Sherwood,E07000175
108,1974,2618,2532,2750,2756,2554,2615,2301,2587,2009,2430,2734,1547,1411,1678,1597,1710,1881,2141,1946,2289,2280,2190,2095,1689,3052,2015,1521,ladu2023:Rushcliffe,E07000176
109,2880,3567,3494,3934,4100,4125,4236,3783,4005,3035,3806,4050,2337,1939,2216,2075,2193,2250,2905,2778,3082,3038,2945,2824,2413,4165,2624,2124,"ladu2023:Herefordshire, County of",E06000019
110,2798,3388,3272,3691,3902,3738,3988,3790,4273,2934,3627,3477,2103,1298,1610,1543,1731,2028,2636,2681,3041,2874,2757,2886,2314,3535,2699,1797,ladu2023:Telford and Wrekin,E06000020
111,3763,4109,3745,3845,3976,4079,5647,6302,6727,5427,5951,6642,3988,2090,2351,2255,2275,2537,3310,3229,3688,3737,3634,3538,2883,3873,3428,2726,ladu2023:Stoke-on-Trent,E06000021
112,4896,6131,5721,6151,6085,5993,6951,5964,6390,4759,6307,6056,3614,2804,3709,3100,3370,3901,4742,4973,5331,5568,5525,5344,4313,7053,4820,3422,ladu2023:Shropshire,E06000051
113,1464,1470,1733,1825,2046,1920,2228,2083,2184,1639,1841,2164,1250,649,863,911,902,1054,1492,1320,1662,1783,1634,1647,1433,2030,1662,1052,ladu2023:Cannock Chase,E07000192
114,1640,1987,2242,2361,2725,2620,2670,2471,2686,2065,2530,2825,1716,1060,1296,1293,1330,1481,1785,1807,2113,1996,2084,2208,1616,2641,2121,1339,ladu2023:East Staffordshire,E07000193
